STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING AND ABDUCTION OF OTHERS,AUTO THEFT,OTHER THEFT,RIOTS,CHEATING,HURT/GREVIOUS HURT,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,60,17,0,50,16,22,177,78,104,1131,16,175,0,181,1518,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,125,1,0,23,23,57,309,168,65,1543,7,154,0,270,754,4125
ANDHRA PRADESH,CHITTOOR,2001,101,57,2,0,27,25,164,559,156,209,2088,14,186,0,404,1262,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,53,1,0,20,5,36,137,164,37,795,17,57,0,233,1181,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,67,1,0,23,23,150,871,70,220,1244,12,247,0,431,2313,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,1,0,0,0,0,0,162,1,0,1,0,0,0,4,104,287
ANDHRA PRADESH,GUNTUR,2001,182,88,2,0,54,31,171,951,244,300,1792,7,378,0,369,2426,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,7,0,37,41,1128,1664,65,1293,3137,24,746,0,409,1512,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,6,0,56,18,54,338,220,243,1392,62,224,0,322,1726,5811
ANDHRA PRADESH,KHAMMAM,2001,93,60,1,0,47,11,34,334,153,130,1026,17,172,0,209,1450,4582
ANDHRA PRADESH,KRISHNA,2001,65,51,0,0,37,15,27,451,70,104,1985,10,265,0,268,862,4779
ANDHRA PRADESH,KURNOOL,2001,133,72,4,0,29,0,6,291,84,126,1547,13,92,0,292,1401,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67,26,0,59,15,33,283,157,84,867,14,69,0,280,2158,4819
ANDHRA PRADESH,MEDAK,2001,101,56,12,0,35,6,36,250,100,87,1367,26,192,0,335,454,3532
ANDHRA PRADESH,NALGONDA,2001,122,60,1,0,35,8,43,275,220,122,1132,31,214,0,432,1781,5002
ANDHRA PRADESH,NELLORE,2001,89,69,5,0,46,10,72,536,97,177,1119,10,287,0,266,1585,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,49,14,0,21,17,48,186,51,122,1383,19,228,0,220,787,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,82,3,0,19,19,33,245,138,88,1266,5,119,0,263,808,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,95,16,0,72,23,347,949,65,527,2829,37,421,7,593,2103,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,0,0,0,296,1,4,17,1,0,0,6,68,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,10,4,0,8,0,1,230,70,53,679,6,108,0,167,926,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,44,5,0,25,22,264,1793,19,614,1578,2,520,0,234,724,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,0,1,0,0,265,1,3,9,0,0,0,2,25,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,29,0,0,12,0,0,165,138,39,1476,3,99,0,216,685,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10,1,0,13,7,172,458,9,192,325,0,204,0,196,928,3422
